test_id,spoken_input,recognized_text,mapped_intent,action_taken,retry_count,status,failure_stage,root_cause_category,final_output,expected_output,timestamp
1,uploads/audio/inter_1a2b3c_try0.wav,calendar page,UNKNOWN,none,0,failure,intent_mapping,intent_mismatch,none,open_calendar,2026-04-29 10:00:00
1,uploads/audio/inter_1a2b3c_try1.wav,it coordinated,calendar page,OPEN_CALENDAR,1,success,none,none,calendar_opened,open_calendar,2026-04-29 10:00:15
2,uploads/audio/inter_4d5e6f_try0.wav,add task homework,add_task,Initiated add_task flow for 'homework',0,success,none,none,task_flow_started,add_task,2026-04-29 10:05:00
3,uploads/audio/inter_7g8h9i_try0.wav,,none,none,0,failure,speech_recognition,unknown,none,list_tasks,2026-04-29 10:10:00
3,uploads/audio/inter_7g8h9i_try1.wav,show goals,list_tasks,Listed 5 tasks,1,success,none,none,tasks_displayed,list_tasks,2026-04-29 10:10:20
4,uploads/audio/inter_j0k1l2_try0.wav,open dashboard,nav,Opening your dashboard.,0,success,none,none,dashboard_opened,open_dashboard,2026-04-29 10:15:00
5,uploads/audio/inter_m3n4o5_try0.wav,take note study tip,add_note,Initiated add_note flow for 'study tip',0,success,none,none,note_flow_started,add_note,2026-04-29 10:20:00
6,uploads/audio/inter_p6q7r8_try0.wav,tomorrow,UNKNOWN,none,0,failure,intent_mapping,intent_mismatch,none,set_date,2026-04-29 10:25:00
6,uploads/audio/inter_p6q7r8_try1.wav,set date tomorrow,add_task_step_date,Date set to 2026-04-30,1,success,none,none,date_set,set_date,2026-04-29 10:25:20
7,uploads/audio/inter_s9t0u1_try0.wav,read schedule,today_schedule,Read today's schedule,0,success,none,none,schedule_read,read_schedule,2026-04-29 10:30:00
8,uploads/audio/inter_v2w3x4_try0.wav,delete task,UNKNOWN,none,0,failure,intent_mapping,intent_mismatch,none,delete_task,2026-04-29 10:35:00
9,uploads/audio/inter_y5z6a7_try0.wav,open resources,nav,Opening your resources.,0,success,none,none,resources_opened,open_resources,2026-04-29 10:40:00
10,uploads/audio/inter_b8c9d0_try0.wav,help,help,Showed help message,0,success,none,none,help_displayed,show_help,2026-04-29 10:45:00
none,background_capture,alexa,wake_word,Activated listener,0,success,none,none,none,none,2026-04-30 01:24:40
9226982e,uploads\audio\inter_88689375_try0.wav,open tasks page,nav,Opening your tasks.,0,success,none,unknown,Opening your tasks.,unknown,2026-04-30 01:24:50
none,background_capture,alexa,wake_word,Activated listener,0,success,none,none,none,none,2026-04-30 01:26:36
11143135,uploads\audio\inter_67b5746e_try0.wav,open notes page,nav,Opening your notes.,0,success,none,unknown,Opening your notes.,unknown,2026-04-30 01:26:45
none,background_capture,alexa,wake_word,Activated listener,0,success,none,none,none,none,2026-04-30 01:27:48
faeb276b,uploads\audio\inter_6d34f354_try0.wav,open Note,nav,Opening your notes.,0,success,none,unknown,Opening your notes.,unknown,2026-04-30 01:27:56
none,background_capture,alexa,wake_word,Activated listener,0,success,none,none,none,none,2026-04-30 01:28:04
10698c92,uploads\audio\inter_62baf106_try0.wav,today's schedule,unknown,Failed to map intent,0,failure,intent_mapping,unknown,Failed to map intent,unknown,2026-04-30 01:28:12
none,background_capture,alexa,wake_word,Activated listener,0,success,none,none,none,none,2026-04-30 01:28:23
f4bb49ae,uploads\audio\inter_5af44304_try0.wav,today schedule,unknown,Failed to map intent,0,failure,intent_mapping,unknown,Failed to map intent,unknown,2026-04-30 01:28:32
none,background_capture,alexa,wake_word,Activated listener,0,success,none,none,none,none,2026-04-30 01:28:42
663482c6,uploads\audio\inter_26eafb18_try0.wav,what is today's schedule,unknown,Failed to map intent,0,failure,intent_mapping,unknown,Failed to map intent,unknown,2026-04-30 01:28:50
none,background_capture,alexa,wake_word,Activated listener,0,success,none,none,none,none,2026-04-30 01:29:02
807d5344,uploads\audio\inter_88ed711c_try0.wav,what's today's schedule,unknown,Failed to map intent,0,failure,intent_mapping,unknown,Failed to map intent,unknown,2026-04-30 01:29:12
none,background_capture,alexa,wake_word,Activated listener,0,success,none,none,none,none,2026-04-30 01:29:22
30eb7fa1,uploads\audio\inter_9d328d9a_try0.wav,what are the pending tasks,list_tasks,Listed 8 tasks,0,success,none,unknown,Listed 8 tasks,unknown,2026-04-30 01:29:31
none,background_capture,alexa,wake_word,Activated listener,0,success,none,none,none,none,2026-04-30 16:14:34
e3b17568,uploads\audio\inter_cdc5a100_try0.wav,schedule,unknown,Failed to map intent,0,failure,intent_mapping,unknown,Failed to map intent,unknown,2026-04-30 16:14:41
none,background_capture,alexa,wake_word,Activated listener,0,success,none,none,none,none,2026-04-30 16:14:51
f9007ab9,uploads\audio\inter_e96aa41d_try0.wav,what's today's schedule,today_schedule,Read empty schedule,0,success,none,unknown,Read empty schedule,unknown,2026-04-30 16:15:00
d59feddb,background_capture,alexa,wake_word,Activated listener immediately,0,success,none,none,none,none,2026-04-30 16:21:50
cfe61be0,uploads\audio\inter_f6ac3a29_try0.wav,show today schedule,today_schedule,Read empty schedule,0,success,none,unknown,Read empty schedule,unknown,2026-04-30 16:21:58
be7c44fd,background_capture,alexa,wake_word,Activated listener immediately with prompt,0,success,none,none,none,none,2026-04-30 16:26:34
da9caed3,uploads\audio\inter_5bdc7790_try0.wav,,none,Retry prompted: UnknownValue,0,failure,speech_recognition,unknown,none,unknown,2026-04-30 16:26:45
da9caed3,uploads\audio\inter_e32fe183_try1.wav,,none,Retry prompted: UnknownValue,1,failure,speech_recognition,unknown,none,unknown,2026-04-30 16:26:49
da9caed3,uploads\audio\inter_9f326ef5_try2.wav,,unknown,none,2,failure,speech_recognition,none,none,none,2026-04-30 16:26:58
da9caed3,uploads\audio\inter_37424027_try2.wav,,unknown,none,2,failure,speech_recognition,none,none,none,2026-04-30 16:27:04
da9caed3,uploads\audio\inter_6cc59d56_try2.wav,,unknown,none,2,failure,speech_recognition,none,none,none,2026-04-30 16:27:10
da9caed3,uploads\audio\inter_a658ea0b_try2.wav,,unknown,none,2,failure,speech_recognition,none,none,none,2026-04-30 16:27:14
da9caed3,None,,none,none,2,failure,speech_recognition,none,none,none,2026-04-30 16:27:30
07ef5abb,background_capture,alexa,wake_word,Activated listener immediately with prompt,0,success,none,none,none,none,2026-04-30 16:27:40
717c7520,uploads\audio\inter_10194070_try0.wav,open,unknown,Failed to map intent,0,failure,intent_mapping,unknown,Failed to map intent,unknown,2026-04-30 16:27:46
3f6df0d2,background_capture,alexa,wake_word,Activated listener immediately with prompt,0,success,none,none,none,none,2026-04-30 16:27:56
08a20998,uploads\audio\inter_c8d5fa43_try0.wav,calendar,unknown,Failed to map intent,0,failure,intent_mapping,unknown,Failed to map intent,unknown,2026-04-30 16:28:03
41ca5410,background_capture,alexa,wake_word,Activated listener immediately with prompt,0,success,none,none,none,none,2026-04-30 16:28:27
